Gen: 0 | Net_R: -0.72 | Avg_R: -0.72 | Kid_avg_R: -0.893 | Gen_T: 16.74488067626953
Gen: 15 | Net_R: -0.9 | Avg_R: -0.8293574668895369 | Kid_avg_R: -0.8780000000000001 | Gen_T: 18.799968004226685
Gen: 16 | Net_R: -0.94 | Avg_R: -0.8404217202005833 | Kid_avg_R: -0.86 | Gen_T: 18.31010627746582
Gen: 17 | Net_R: -0.96 | Avg_R: -0.852379548180525 | Kid_avg_R: -0.835 | Gen_T: 19.449198722839355
Gen: 18 | Net_R: -0.86 | Avg_R: -0.8531415933624724 | Kid_avg_R: -0.845 | Gen_T: 19.05039691925049
Gen: 19 | Net_R: -0.96 | Avg_R: -0.8638274340262252 | Kid_avg_R: -0.8939999999999999 | Gen_T: 18.61964464187622
Gen: 20 | Net_R: -0.92 | Avg_R: -0.8694446906236026 | Kid_avg_R: -0.834 | Gen_T: 19.64250612258911
Gen: 21 | Net_R: -0.88 | Avg_R: -0.8705002215612424 | Kid_avg_R: -0.877 | Gen_T: 18.779200553894043
Gen: 22 | Net_R: -0.96 | Avg_R: -0.8794501994051181 | Kid_avg_R: -0.7990000000000002 | Gen_T: 17.663816690444946
Gen: 23 | Net_R: -0.92 | Avg_R: -0.8835051794646063 | Kid_avg_R: -0.852 | Gen_T: 16.30657935142517
Gen: 24 | Net_R: -0.7 | Avg_R: -0.8651546615181456 | Kid_avg_R: -0.776 | Gen_T: 18.793132066726685
Gen: 25 | Net_R: -0.78 | Avg_R: -0.856639195366331 | Kid_avg_R: -0.8150000000000001 | Gen_T: 18.63092017173767
Gen: 26 | Net_R: -0.78 | Avg_R: -0.848975275829698 | Kid_avg_R: -0.837 | Gen_T: 18.31873345375061
Gen: 27 | Net_R: -0.76 | Avg_R: -0.8400777482467283 | Kid_avg_R: -0.8360000000000001 | Gen_T: 19.291820287704468
Gen: 28 | Net_R: -0.78 | Avg_R: -0.8340699734220556 | Kid_avg_R: -0.797 | Gen_T: 18.28895139694214
Gen: 29 | Net_R: -0.6 | Avg_R: -0.81066297607985 | Kid_avg_R: -0.78 | Gen_T: 21.92924666404724
Gen: 30 | Net_R: -0.74 | Avg_R: -0.803596678471865 | Kid_avg_R: -0.784 | Gen_T: 19.788718461990356
Gen: 31 | Net_R: -0.7 | Avg_R: -0.7932370106246784 | Kid_avg_R: -0.791 | Gen_T: 19.329582691192627
Gen: 32 | Net_R: -0.78 | Avg_R: -0.7919133095622106 | Kid_avg_R: -0.7630000000000001 | Gen_T: 17.97015070915222
Gen: 33 | Net_R: -0.84 | Avg_R: -0.7967219786059896 | Kid_avg_R: -0.806 | Gen_T: 18.21897864341736
Gen: 34 | Net_R: -0.74 | Avg_R: -0.7910497807453906 | Kid_avg_R: -0.8240000000000001 | Gen_T: 17.56127166748047
Gen: 35 | Net_R: -0.88 | Avg_R: -0.7999448026708514 | Kid_avg_R: -0.8160000000000001 | Gen_T: 17.108428478240967
Gen: 36 | Net_R: -0.86 | Avg_R: -0.8059503224037663 | Kid_avg_R: -0.8030000000000002 | Gen_T: 16.790693283081055
Gen: 37 | Net_R: -0.86 | Avg_R: -0.8113552901633897 | Kid_avg_R: -0.8150000000000001 | Gen_T: 16.110048055648804
Gen: 38 | Net_R: -0.82 | Avg_R: -0.8122197611470507 | Kid_avg_R: -0.8150000000000001 | Gen_T: 16.719836235046387
Gen: 39 | Net_R: -0.74 | Avg_R: -0.8049977850323456 | Kid_avg_R: -0.789 | Gen_T: 17.42003107070923
Gen: 40 | Net_R: -0.88 | Avg_R: -0.8124980065291111 | Kid_avg_R: -0.788 | Gen_T: 17.10056781768799
Gen: 41 | Net_R: -0.8 | Avg_R: -0.8112482058762001 | Kid_avg_R: -0.751 | Gen_T: 16.779805183410645
Gen: 42 | Net_R: -0.74 | Avg_R: -0.8041233852885801 | Kid_avg_R: -0.788 | Gen_T: 19.139677047729492
Gen: 43 | Net_R: -0.8 | Avg_R: -0.8037110467597222 | Kid_avg_R: -0.8139999999999998 | Gen_T: 19.83964490890503
Gen: 44 | Net_R: -0.96 | Avg_R: -0.8193399420837499 | Kid_avg_R: -0.806 | Gen_T: 19.43023133277893
Gen: 45 | Net_R: -0.76 | Avg_R: -0.813405947875375 | Kid_avg_R: -0.771 | Gen_T: 18.979310274124146
Gen: 46 | Net_R: -0.82 | Avg_R: -0.8140653530878375 | Kid_avg_R: -0.797 | Gen_T: 21.020168781280518
Gen: 47 | Net_R: -0.6 | Avg_R: -0.7926588177790537 | Kid_avg_R: -0.8039999999999999 | Gen_T: 19.080138206481934
Gen: 48 | Net_R: -0.38 | Avg_R: -0.7513929360011483 | Kid_avg_R: -0.7400000000000001 | Gen_T: 20.117677688598633
Gen: 49 | Net_R: -0.72 | Avg_R: -0.7482536424010334 | Kid_avg_R: -0.806 | Gen_T: 21.75657868385315
Gen: 50 | Net_R: -0.4 | Avg_R: -0.7134282781609301 | Kid_avg_R: -0.835 | Gen_T: 17.290863275527954
Gen: 51 | Net_R: -0.66 | Avg_R: -0.708085450344837 | Kid_avg_R: -0.7380000000000001 | Gen_T: 14.14076542854309
Gen: 52 | Net_R: -0.66 | Avg_R: -0.7032769053103534 | Kid_avg_R: -0.7149999999999999 | Gen_T: 14.479148149490356
Gen: 53 | Net_R: -0.56 | Avg_R: -0.6889492147793181 | Kid_avg_R: -0.755 | Gen_T: 13.940512895584106
Gen: 54 | Net_R: -0.36 | Avg_R: -0.6560542933013864 | Kid_avg_R: -0.77 | Gen_T: 16.19967031478882
Gen: 55 | Net_R: -0.5 | Avg_R: -0.6404488639712479 | Kid_avg_R: -0.606 | Gen_T: 15.88763689994812
Gen: 56 | Net_R: -0.64 | Avg_R: -0.640403977574123 | Kid_avg_R: -0.7129999999999999 | Gen_T: 15.47937536239624
Gen: 57 | Net_R: -0.58 | Avg_R: -0.6343635798167107 | Kid_avg_R: -0.6970000000000001 | Gen_T: 12.648919105529785
Gen: 58 | Net_R: -0.58 | Avg_R: -0.6289272218350397 | Kid_avg_R: -0.7380000000000001 | Gen_T: 12.059722423553467
Gen: 59 | Net_R: -0.6 | Avg_R: -0.6260344996515357 | Kid_avg_R: -0.6639999999999999 | Gen_T: 12.569056034088135
Gen: 60 | Net_R: -0.5 | Avg_R: -0.6134310496863822 | Kid_avg_R: -0.6599999999999999 | Gen_T: 14.580318927764893
Gen: 61 | Net_R: -0.62 | Avg_R: -0.6140879447177441 | Kid_avg_R: -0.665 | Gen_T: 12.878907203674316
Gen: 62 | Net_R: -0.48 | Avg_R: -0.6006791502459697 | Kid_avg_R: -0.663 | Gen_T: 14.69834589958191
Gen: 63 | Net_R: -0.56 | Avg_R: -0.5966112352213728 | Kid_avg_R: -0.6280000000000001 | Gen_T: 14.108929634094238
Gen: 64 | Net_R: -0.66 | Avg_R: -0.6029501116992355 | Kid_avg_R: -0.6000000000000002 | Gen_T: 13.149973154067993
Gen: 65 | Net_R: -0.48 | Avg_R: -0.590655100529312 | Kid_avg_R: -0.6410000000000001 | Gen_T: 17.202714443206787
Gen: 66 | Net_R: -0.58 | Avg_R: -0.5895895904763808 | Kid_avg_R: -0.651 | Gen_T: 14.438085556030273
Gen: 67 | Net_R: -0.62 | Avg_R: -0.5926306314287428 | Kid_avg_R: -0.6090000000000001 | Gen_T: 16.26962161064148
Gen: 68 | Net_R: -0.72 | Avg_R: -0.6053675682858686 | Kid_avg_R: -0.6140000000000001 | Gen_T: 17.610503911972046
Gen: 69 | Net_R: -0.68 | Avg_R: -0.6128308114572818 | Kid_avg_R: -0.6519999999999999 | Gen_T: 14.710220098495483
Gen: 70 | Net_R: -0.56 | Avg_R: -0.6075477303115537 | Kid_avg_R: -0.576 | Gen_T: 18.22999095916748
Gen: 71 | Net_R: -0.56 | Avg_R: -0.6027929572803984 | Kid_avg_R: -0.5700000000000001 | Gen_T: 20.3804349899292
Gen: 72 | Net_R: -0.64 | Avg_R: -0.6065136615523585 | Kid_avg_R: -0.6210000000000001 | Gen_T: 18.24951934814453
Gen: 73 | Net_R: -0.4 | Avg_R: -0.5858622953971228 | Kid_avg_R: -0.624 | Gen_T: 16.51827836036682
Gen: 74 | Net_R: -0.58 | Avg_R: -0.5852760658574105 | Kid_avg_R: -0.632 | Gen_T: 18.118932485580444
Gen: 75 | Net_R: -0.64 | Avg_R: -0.5907484592716694 | Kid_avg_R: -0.6179999999999999 | Gen_T: 18.40068745613098
Gen: 76 | Net_R: -0.52 | Avg_R: -0.5836736133445025 | Kid_avg_R: -0.611 | Gen_T: 17.8900887966156
Gen: 77 | Net_R: -0.58 | Avg_R: -0.5833062520100523 | Kid_avg_R: -0.623 | Gen_T: 17.060229063034058
Gen: 78 | Net_R: -0.74 | Avg_R: -0.598975626809047 | Kid_avg_R: -0.574 | Gen_T: 18.879822492599487
Gen: 79 | Net_R: -0.52 | Avg_R: -0.5910780641281423 | Kid_avg_R: -0.5860000000000001 | Gen_T: 15.518646001815796
Gen: 80 | Net_R: -0.56 | Avg_R: -0.5879702577153282 | Kid_avg_R: -0.5529999999999999 | Gen_T: 14.680132389068604
Gen: 81 | Net_R: -0.56 | Avg_R: -0.5851732319437954 | Kid_avg_R: -0.543 | Gen_T: 16.328023195266724
Gen: 82 | Net_R: -0.66 | Avg_R: -0.5926559087494159 | Kid_avg_R: -0.5900000000000001 | Gen_T: 15.580026865005493
Gen: 83 | Net_R: -0.64 | Avg_R: -0.5973903178744744 | Kid_avg_R: -0.52 | Gen_T: 13.679701805114746
Gen: 84 | Net_R: -0.52 | Avg_R: -0.589651286087027 | Kid_avg_R: -0.5160000000000001 | Gen_T: 16.07014513015747
Gen: 85 | Net_R: -0.24 | Avg_R: -0.5546861574783243 | Kid_avg_R: -0.5940000000000001 | Gen_T: 14.38057255744934
Gen: 86 | Net_R: -0.22 | Avg_R: -0.5212175417304918 | Kid_avg_R: -0.536 | Gen_T: 16.268514156341553
Gen: 87 | Net_R: -0.22 | Avg_R: -0.4910957875574427 | Kid_avg_R: -0.546 | Gen_T: 15.607849359512329
Gen: 88 | Net_R: -0.3 | Avg_R: -0.4719862088016984 | Kid_avg_R: -0.585 | Gen_T: 15.039139986038208
Gen: 89 | Net_R: -0.32 | Avg_R: -0.4567875879215285 | Kid_avg_R: -0.6180000000000001 | Gen_T: 15.270290613174438
Gen: 90 | Net_R: -0.32 | Avg_R: -0.44310882912937566 | Kid_avg_R: -0.5840000000000001 | Gen_T: 15.840742826461792
Gen: 91 | Net_R: -0.22 | Avg_R: -0.4207979462164381 | Kid_avg_R: -0.545 | Gen_T: 15.238881826400757
Gen: 92 | Net_R: -0.34 | Avg_R: -0.4127181515947943 | Kid_avg_R: -0.568 | Gen_T: 15.42956805229187
Gen: 93 | Net_R: -0.44 | Avg_R: -0.41544633643531487 | Kid_avg_R: -0.5240000000000001 | Gen_T: 14.430257797241211
Gen: 94 | Net_R: -0.26 | Avg_R: -0.3999017027917834 | Kid_avg_R: -0.612 | Gen_T: 16.739118099212646
Gen: 95 | Net_R: -0.4 | Avg_R: -0.39991153251260503 | Kid_avg_R: -0.504 | Gen_T: 16.980719804763794
Gen: 96 | Net_R: -0.14 | Avg_R: -0.3739203792613445 | Kid_avg_R: -0.5269999999999999 | Gen_T: 17.10998821258545
Gen: 97 | Net_R: -0.3 | Avg_R: -0.36652834133521006 | Kid_avg_R: -0.484 | Gen_T: 16.837494373321533
Gen: 98 | Net_R: -0.24 | Avg_R: -0.3538755072016891 | Kid_avg_R: -0.5429999999999999 | Gen_T: 15.681144952774048
Gen: 99 | Net_R: -0.42 | Avg_R: -0.36048795648152016 | Kid_avg_R: -0.52 | Gen_T: 16.668410062789917
Gen: 100 | Net_R: -0.44 | Avg_R: -0.36843916083336814 | Kid_avg_R: -0.5519999999999999 | Gen_T: 16.13028120994568
Gen: 101 | Net_R: -0.52 | Avg_R: -0.3835952447500313 | Kid_avg_R: -0.561 | Gen_T: 16.33963441848755
Gen: 102 | Net_R: -0.46 | Avg_R: -0.3912357202750282 | Kid_avg_R: -0.5290000000000001 | Gen_T: 16.02924942970276
Gen: 103 | Net_R: -0.52 | Avg_R: -0.40411214824752534 | Kid_avg_R: -0.5640000000000001 | Gen_T: 17.098727226257324
Gen: 104 | Net_R: -0.58 | Avg_R: -0.4217009334227728 | Kid_avg_R: -0.572 | Gen_T: 15.89879846572876
Gen: 105 | Net_R: -0.48 | Avg_R: -0.4275308400804955 | Kid_avg_R: -0.5149999999999999 | Gen_T: 15.858814477920532
Gen: 106 | Net_R: -0.5 | Avg_R: -0.43477775607244595 | Kid_avg_R: -0.4879999999999999 | Gen_T: 15.781763315200806
Gen: 107 | Net_R: -0.46 | Avg_R: -0.43729998046520135 | Kid_avg_R: -0.5069999999999999 | Gen_T: 15.23775339126587
Gen: 108 | Net_R: -0.42 | Avg_R: -0.4355699824186812 | Kid_avg_R: -0.515 | Gen_T: 18.3288152217865
Gen: 109 | Net_R: -0.26 | Avg_R: -0.41801298417681315 | Kid_avg_R: -0.5379999999999999 | Gen_T: 19.50917148590088
Gen: 110 | Net_R: -0.22 | Avg_R: -0.39821168575913185 | Kid_avg_R: -0.378 | Gen_T: 17.22003483772278
Gen: 111 | Net_R: -0.26 | Avg_R: -0.3843905171832187 | Kid_avg_R: -0.43200000000000005 | Gen_T: 19.15888214111328
Gen: 112 | Net_R: -0.38 | Avg_R: -0.3839514654648969 | Kid_avg_R: -0.5680000000000001 | Gen_T: 17.039706230163574
Gen: 113 | Net_R: -0.3 | Avg_R: -0.37555631891840724 | Kid_avg_R: -0.481 | Gen_T: 18.799240112304688
Gen: 114 | Net_R: -0.3 | Avg_R: -0.3680006870265665 | Kid_avg_R: -0.532 | Gen_T: 19.640456438064575
Gen: 115 | Net_R: -0.34 | Avg_R: -0.36520061832390993 | Kid_avg_R: -0.4660000000000001 | Gen_T: 17.856393098831177
Gen: 116 | Net_R: -0.24 | Avg_R: -0.35268055649151897 | Kid_avg_R: -0.5109999999999999 | Gen_T: 18.21399688720703
Gen: 117 | Net_R: -0.56 | Avg_R: -0.3734125008423671 | Kid_avg_R: -0.5359999999999999 | Gen_T: 18.766011953353882
Gen: 118 | Net_R: -0.52 | Avg_R: -0.38807125075813037 | Kid_avg_R: -0.571 | Gen_T: 18.95054292678833
Gen: 119 | Net_R: -0.36 | Avg_R: -0.3852641256823173 | Kid_avg_R: -0.5499999999999999 | Gen_T: 20.77165174484253
Gen: 120 | Net_R: -0.56 | Avg_R: -0.40273771311408557 | Kid_avg_R: -0.534 | Gen_T: 19.22824192047119
Gen: 121 | Net_R: -0.34 | Avg_R: -0.3964639418026771 | Kid_avg_R: -0.54 | Gen_T: 18.66042685508728
Gen: 122 | Net_R: -0.38 | Avg_R: -0.3948175476224094 | Kid_avg_R: -0.571 | Gen_T: 17.209567546844482
Gen: 123 | Net_R: -0.36 | Avg_R: -0.39133579286016845 | Kid_avg_R: -0.505 | Gen_T: 16.48943591117859
Gen: 124 | Net_R: -0.32 | Avg_R: -0.38420221357415163 | Kid_avg_R: -0.5439999999999999 | Gen_T: 16.729021549224854
Gen: 125 | Net_R: -0.58 | Avg_R: -0.4037819922167365 | Kid_avg_R: -0.526 | Gen_T: 14.831038236618042
Gen: 126 | Net_R: -0.52 | Avg_R: -0.41540379299506286 | Kid_avg_R: -0.5469999999999999 | Gen_T: 16.199410915374756
Gen: 127 | Net_R: -0.36 | Avg_R: -0.40986341369555657 | Kid_avg_R: -0.507 | Gen_T: 19.34923815727234
Gen: 128 | Net_R: -0.42 | Avg_R: -0.4108770723260009 | Kid_avg_R: -0.5740000000000001 | Gen_T: 19.489922761917114
Gen: 129 | Net_R: -0.28 | Avg_R: -0.39778936509340085 | Kid_avg_R: -0.551 | Gen_T: 18.790048599243164
Gen: 130 | Net_R: -0.32 | Avg_R: -0.39001042858406076 | Kid_avg_R: -0.549 | Gen_T: 18.450791835784912
Gen: 131 | Net_R: -0.36 | Avg_R: -0.3870093857256547 | Kid_avg_R: -0.5509999999999999 | Gen_T: 16.60810947418213
Gen: 132 | Net_R: -0.12 | Avg_R: -0.36030844715308924 | Kid_avg_R: -0.5440000000000002 | Gen_T: 18.409832239151
Gen: 133 | Net_R: 0.0 | Avg_R: -0.3242776024377803 | Kid_avg_R: -0.49700000000000005 | Gen_T: 17.928040266036987
Gen: 134 | Net_R: -0.08 | Avg_R: -0.2998498421940023 | Kid_avg_R: -0.489 | Gen_T: 18.097643852233887
Gen: 135 | Net_R: -0.14 | Avg_R: -0.2838648579746021 | Kid_avg_R: -0.51 | Gen_T: 17.560418128967285
Gen: 136 | Net_R: -0.16 | Avg_R: -0.2714783721771419 | Kid_avg_R: -0.326 | Gen_T: 18.61938738822937
Gen: 137 | Net_R: -0.14 | Avg_R: -0.2583305349594277 | Kid_avg_R: -0.506 | Gen_T: 18.349668264389038
Gen: 138 | Net_R: -0.22 | Avg_R: -0.25449748146348494 | Kid_avg_R: -0.48599999999999993 | Gen_T: 20.790234088897705
Gen: 139 | Net_R: -0.36 | Avg_R: -0.26504773331713644 | Kid_avg_R: -0.4950000000000001 | Gen_T: 17.80998706817627
Gen: 140 | Net_R: -0.24 | Avg_R: -0.2625429599854228 | Kid_avg_R: -0.44400000000000006 | Gen_T: 19.11990737915039
Gen: 141 | Net_R: -0.2 | Avg_R: -0.25628866398688055 | Kid_avg_R: -0.48 | Gen_T: 19.85055136680603
Gen: 142 | Net_R: -0.46 | Avg_R: -0.2766597975881925 | Kid_avg_R: -0.5010000000000001 | Gen_T: 19.510258197784424
Gen: 143 | Net_R: -0.18 | Avg_R: -0.26699381782937326 | Kid_avg_R: -0.4040000000000001 | Gen_T: 16.909918785095215
Gen: 144 | Net_R: -0.26 | Avg_R: -0.26629443604643593 | Kid_avg_R: -0.45100000000000007 | Gen_T: 19.50873041152954
Gen: 145 | Net_R: -0.36 | Avg_R: -0.2756649924417923 | Kid_avg_R: -0.43600000000000005 | Gen_T: 19.469833612442017
Gen: 146 | Net_R: -0.38 | Avg_R: -0.2860984931976131 | Kid_avg_R: -0.38 | Gen_T: 16.600253582000732
Gen: 147 | Net_R: -0.18 | Avg_R: -0.2754886438778518 | Kid_avg_R: -0.453 | Gen_T: 17.169798374176025
Gen: 148 | Net_R: -0.26 | Avg_R: -0.27393977949006665 | Kid_avg_R: -0.524 | Gen_T: 19.209871530532837
Gen: 149 | Net_R: -0.46 | Avg_R: -0.29254580154105997 | Kid_avg_R: -0.406 | Gen_T: 20.15968656539917
Gen: 150 | Net_R: -0.22 | Avg_R: -0.285291221386954 | Kid_avg_R: -0.47400000000000003 | Gen_T: 17.45125102996826
Gen: 151 | Net_R: -0.16 | Avg_R: -0.2727620992482586 | Kid_avg_R: -0.42000000000000004 | Gen_T: 17.299917697906494
Gen: 152 | Net_R: -0.32 | Avg_R: -0.27748588932343277 | Kid_avg_R: -0.426 | Gen_T: 18.947567462921143
Gen: 153 | Net_R: -0.18 | Avg_R: -0.2677373003910895 | Kid_avg_R: -0.43900000000000006 | Gen_T: 18.13300395011902
Gen: 154 | Net_R: -0.32 | Avg_R: -0.2729635703519806 | Kid_avg_R: -0.45 | Gen_T: 19.518447399139404
Gen: 155 | Net_R: -0.2 | Avg_R: -0.26566721331678256 | Kid_avg_R: -0.37299999999999994 | Gen_T: 18.35913872718811
Gen: 156 | Net_R: -0.26 | Avg_R: -0.2651004919851043 | Kid_avg_R: -0.519 | Gen_T: 20.0885169506073
Gen: 157 | Net_R: -0.22 | Avg_R: -0.2605904427865939 | Kid_avg_R: -0.4 | Gen_T: 17.319015979766846
Gen: 158 | Net_R: -0.28 | Avg_R: -0.2625313985079345 | Kid_avg_R: -0.37600000000000006 | Gen_T: 19.340677976608276
Gen: 159 | Net_R: -0.22 | Avg_R: -0.25827825865714105 | Kid_avg_R: -0.489 | Gen_T: 18.418695211410522
Gen: 160 | Net_R: -0.44 | Avg_R: -0.27645043279142695 | Kid_avg_R: -0.441 | Gen_T: 19.620232582092285
Gen: 161 | Net_R: -0.38 | Avg_R: -0.2868053895122843 | Kid_avg_R: -0.45899999999999996 | Gen_T: 17.820157527923584
Gen: 162 | Net_R: -0.26 | Avg_R: -0.2841248505610559 | Kid_avg_R: -0.5229999999999999 | Gen_T: 20.849188089370728
Gen: 163 | Net_R: -0.12 | Avg_R: -0.2677123655049503 | Kid_avg_R: -0.374 | Gen_T: 19.199280738830566
Gen: 164 | Net_R: -0.26 | Avg_R: -0.2669411289544553 | Kid_avg_R: -0.44300000000000006 | Gen_T: 18.34938955307007
Gen: 165 | Net_R: -0.08 | Avg_R: -0.2482470160590098 | Kid_avg_R: -0.458 | Gen_T: 17.919268369674683
Gen: 166 | Net_R: -0.12 | Avg_R: -0.23542231445310885 | Kid_avg_R: -0.45600000000000007 | Gen_T: 18.39948034286499
Gen: 167 | Net_R: -0.1 | Avg_R: -0.221880083007798 | Kid_avg_R: -0.505 | Gen_T: 19.17033886909485
Gen: 168 | Net_R: -0.18 | Avg_R: -0.21769207470701818 | Kid_avg_R: -0.5599999999999998 | Gen_T: 20.68000316619873
Gen: 169 | Net_R: -0.34 | Avg_R: -0.22992286723631636 | Kid_avg_R: -0.49799999999999994 | Gen_T: 18.838273525238037
Gen: 170 | Net_R: -0.06 | Avg_R: -0.21293058051268474 | Kid_avg_R: -0.42400000000000004 | Gen_T: 20.23198890686035
Gen: 171 | Net_R: -0.16 | Avg_R: -0.20763752246141626 | Kid_avg_R: -0.394 | Gen_T: 20.15834403038025
Gen: 172 | Net_R: -0.06 | Avg_R: -0.19287377021527463 | Kid_avg_R: -0.43599999999999994 | Gen_T: 20.990760564804077
Gen: 173 | Net_R: -0.04 | Avg_R: -0.17758639319374717 | Kid_avg_R: -0.32100000000000006 | Gen_T: 17.109814405441284
Gen: 174 | Net_R: -0.04 | Avg_R: -0.16382775387437246 | Kid_avg_R: -0.46400000000000013 | Gen_T: 17.92990016937256
Gen: 175 | Net_R: -0.02 | Avg_R: -0.14944497848693522 | Kid_avg_R: -0.44700000000000006 | Gen_T: 19.219812393188477
Gen: 176 | Net_R: -0.08 | Avg_R: -0.14250048063824172 | Kid_avg_R: -0.5169999999999999 | Gen_T: 18.060272455215454
Gen: 177 | Net_R: -0.18 | Avg_R: -0.14625043257441755 | Kid_avg_R: -0.441 | Gen_T: 18.08974313735962
Gen: 178 | Net_R: -0.12 | Avg_R: -0.14362538931697583 | Kid_avg_R: -0.477 | Gen_T: 19.69966721534729
Gen: 179 | Net_R: -0.22 | Avg_R: -0.15126285038527823 | Kid_avg_R: -0.4990000000000001 | Gen_T: 18.86087703704834
Gen: 180 | Net_R: -0.16 | Avg_R: -0.1521365653467504 | Kid_avg_R: -0.5029999999999999 | Gen_T: 17.279762029647827
Gen: 181 | Net_R: -0.54 | Avg_R: -0.19092290881207535 | Kid_avg_R: -0.503 | Gen_T: 19.440088272094727
Gen: 182 | Net_R: -0.34 | Avg_R: -0.20583061793086782 | Kid_avg_R: -0.48600000000000004 | Gen_T: 19.760085582733154
Gen: 183 | Net_R: -0.48 | Avg_R: -0.23324755613778103 | Kid_avg_R: -0.38 | Gen_T: 18.87912082672119
Gen: 184 | Net_R: -0.28 | Avg_R: -0.23792280052400294 | Kid_avg_R: -0.46699999999999997 | Gen_T: 19.800135374069214
Gen: 185 | Net_R: -0.42 | Avg_R: -0.2561305204716027 | Kid_avg_R: -0.385 | Gen_T: 18.510089874267578
Gen: 186 | Net_R: 0.0 | Avg_R: -0.2305174684244424 | Kid_avg_R: -0.44700000000000006 | Gen_T: 20.49004054069519
Gen: 187 | Net_R: -0.3 | Avg_R: -0.23746572158199816 | Kid_avg_R: -0.47000000000000003 | Gen_T: 17.467912673950195
Gen: 188 | Net_R: -0.26 | Avg_R: -0.23971914942379835 | Kid_avg_R: -0.47300000000000003 | Gen_T: 19.869144678115845
Gen: 189 | Net_R: -0.08 | Avg_R: -0.22374723448141853 | Kid_avg_R: -0.469 | Gen_T: 19.63971972465515
Gen: 190 | Net_R: -0.04 | Avg_R: -0.2053725110332767 | Kid_avg_R: -0.39399999999999996 | Gen_T: 17.278456211090088
Gen: 191 | Net_R: -0.28 | Avg_R: -0.21283525992994903 | Kid_avg_R: -0.45100000000000007 | Gen_T: 18.820656776428223
Gen: 192 | Net_R: -0.12 | Avg_R: -0.20355173393695414 | Kid_avg_R: -0.43200000000000005 | Gen_T: 20.34937357902527
Gen: 193 | Net_R: -0.14 | Avg_R: -0.19719656054325874 | Kid_avg_R: -0.40099999999999997 | Gen_T: 21.92090082168579
Gen: 194 | Net_R: 0.02 | Avg_R: -0.17547690448893286 | Kid_avg_R: -0.42800000000000005 | Gen_T: 20.659569025039673
Gen: 195 | Net_R: -0.04 | Avg_R: -0.16192921404003957 | Kid_avg_R: -0.4090000000000001 | Gen_T: 19.26189422607422
Gen: 196 | Net_R: -0.16 | Avg_R: -0.16173629263603562 | Kid_avg_R: -0.32399999999999995 | Gen_T: 21.767563581466675
Gen: 197 | Net_R: 0.0 | Avg_R: -0.14556266337243207 | Kid_avg_R: -0.44400000000000006 | Gen_T: 19.409382104873657
Gen: 198 | Net_R: -0.18 | Avg_R: -0.14900639703518886 | Kid_avg_R: -0.383 | Gen_T: 19.210208415985107
Gen: 199 | Net_R: -0.1 | Avg_R: -0.14410575733167 | Kid_avg_R: -0.45999999999999996 | Gen_T: 20.850574254989624
Gen: 200 | Net_R: -0.28 | Avg_R: -0.157695181598503 | Kid_avg_R: -0.519 | Gen_T: 19.919512510299683
Gen: 201 | Net_R: -0.18 | Avg_R: -0.1599256634386527 | Kid_avg_R: -0.414 | Gen_T: 17.74861741065979
Gen: 202 | Net_R: -0.2 | Avg_R: -0.16393309709478743 | Kid_avg_R: -0.36900000000000005 | Gen_T: 16.040059566497803
